UserID,IndexList,UserName,TotalComment,Comment,Reply,LikeCount,ProvinceCode,Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,VipRank
1807786982,[884],宗炜CHAN,1,1,0,0,24,1,14,0,0,1644,503,151,1,0,0
1808594564,[1066],Penguin汤汤汤汤汤汤汤汤汤汤汤,1,1,0,0,12,1,9,0,1,552,584,2337,0,0,0
1808680850,[2289],菜刀温暖V5,1,1,0,0,0,1,46,7,1,1738,5024,74526,0,0,0
1810696247,[1251],Ghost-sky,1,1,0,0,15,0,0,0,1,236,1228,6071,0,0,0
1810867035,[2381],R-Fon,1,1,0,0,12,0,0,0,1,303,875,322,0,0,0
1810878152,[1015],斌__LEO,1,1,0,0,12,0,0,0,1,185,540,1507,0,0,0
1814772225,[2087],某中二小鹿不吃葱喵喵,1,1,0,0,2,1,8,0,0,73,559,2071,0,0,0
1814845935,[2168],不死的八雲,1,1,0,0,11,1,13,3,1,216,1431,1275,0,0,0
1815074877,[1220],乌林乌森,1,1,0,0,12,1,36,2,1,384,254,956,0,0,0
1815131740,[1263],龍丶殇冰,1,1,0,0,16,0,0,0,1,10,93,14,0,0,0
1818261331,[876],麥芽狼,1,1,0,0,0,0,0,0,1,128,129,12,0,0,0
1822162691,[3483],不想吃刀子了,1,1,0,0,0,0,0,0,0,253,1040,935,0,0,0
1822187034,[614],河馬BBQ,1,1,0,0,0,1,8,1,1,265,173,4467,0,0,0
1822576565,[1084],月猫佑,1,1,0,0,9,1,10,0,0,1514,927,10084,1,0,0
1822768354,[906],你这么没种怎么做我的二当家,1,1,0,0,2,1,7,2,1,459,407,1944,0,0,0
1822937734,[917],-Jh_Y,1,1,0,0,12,1,0,1,1,785,948,54,0,0,0
1823790090,[1835],MR_YGL,1,1,0,0,12,1,23,3,1,228,859,1054,0,0,0
1825716667,[1134],-一尾流鸢-,1,1,0,0,0,1,26,5,0,470,1048,66,0,0,0
1825795330,[144],OoooneDay,1,1,0,0,23,1,10,3,1,81,132,57,0,0,0
1826013250,[1646],麒星兔照,1,1,0,0,19,1,4,0,1,2060,8068,76350,0,0,7
1826161011,[1861],好大的一块豆腐,1,1,0,0,20,0,0,0,1,152,954,1862,0,0,0
1826403832,[1944],王者战魂5不屈,1,1,0,0,34,1,6,1,1,50,61,67,0,0,0
1826554424,[3491],法老只因_,1,1,0,0,6,1,8,2,1,95,244,2265,0,0,0
1827035463,[454],Airshuaishuai,1,1,0,0,7,1,16,3,1,182,335,655,0,0,0
1827280144,"[3303, 3309]",默默依风,2,0,2,0,10,1,30,2,0,70,316,510,0,0,0
1827378380,[1097],里几,1,1,0,0,18,1,3,0,1,3315,371,422,1,0,0
1827705502,"[182, 480, 489, 490, 514, 538, 553]",风中摇曳zzzas,7,7,0,4,22,0,0,0,1,255,415,1238,0,0,0
1827873851,[1003],建建森,1,1,0,0,4,1,8,3,1,725,674,5886,0,0,0
1829568351,[3468],赤与蓝之神,1,1,0,0,4,0,0,0,1,93,664,19832,0,0,0
